State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Male Workers,Female Workers,Non Workers,Agricultural Workers,Household Workers,Rural Households,Urban Households,Households,LPG or PNG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Primary Education,Secondary Education,Higher Education,Graduate Education,Households with Car Jeep Van,Ownership Owned Households,Ownership Rented Households,Sex ratio,Literacy_rate
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,3013382,1673814,3537399,173785,256762,1620,990,4962,1181308,492506,2324438,272514,54732,438799,774705,1213504,622095,961161,100322,200738,535947,634172,312208,526886,68427,700252,281627,99.0,75.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,1548738,679620,909872,78590,876299,160,438,156,524629,154991,1190754,72867,35789,104253,493788,598041,199188,465692,15673,52943,331559,322511,226312,254107,21577,420282,57337,102.0,83.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,727044,543298,993666,53292,16483,115,29,7,329034,214264,521195,200837,11340,212241,152420,364661,135831,264949,4915,17995,190229,146666,77874,85595,10648,221047,61893,102.0,68.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,2273430,1354632,2760502,168881,97711,520,199,1532,902704,451928,1683620,372828,47293,417718,592723,1010441,391821,754141,34097,95311,525151,453509,250285,363152,30852,491822,279755,99.0,75.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,1213008,671994,1435072,128617,47579,184,450,963,461174,210820,944456,345057,11555,399016,118724,517740,143846,381940,5585,19692,323359,249630,122350,125639,9042,365468,40644,103.0,75.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,1176131,898245,1673652,32483,16909,183,108,84,531463,366782,828356,253726,38797,370357,257127,627484,265276,441044,8960,31581,297179,214836,126468,169206,18550,343287,126986,99.0,68.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,375823,299726,521658,32702,10301,83,39,38,162639,137087,265497,118278,5343,155413,33179,188592,49390,135751,1507,7745,106751,71650,41447,44025,2259,132395,14725,100.0,66.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,1110545,761693,1428784,114194,72850,119,81,32,471099,290594,856652,305149,13941,399712,104229,503941,82967,354493,4494,18272,283299,251855,121706,111731,7882,344074,42109,101.0,69.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,682658,670787,978946,602977,1047411,208038,91139,154,86,29,392751,210226,750468,153874,25228,290478,126761,417239,100484,291400,5172,22379,293886,189132,105978,97405,5524,270430,51959,98.0,72.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1781571,1700485,2285562,1694160,3326357,95487,53841,412,174,992,1083797,610363,1787896,454210,141503,572813,597539,1170352,448968,835377,20660,63867,571061,457866,242306,296399,30660,706525,199211,95.0,66.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,668672,670429,959744,620171,1186078,74310,75481,150,80,109,391305,228866,718930,199563,14656,309224,143193,452417,113822,314270,5773,24456,216931,199263,103903,115894,8222,277432,59229,100.0,72.0
